SRR32635203	SRR32635202	SRR32635201	SRR32635200	SRR32635199	SRR32635198
BLTP2	538.143451893754	637.698613345519	681.598354073962	493.237968781363	564.160964266057	714.054016183155
SLC13A2	0	1.00742276989813	2.03766324087881	0	0	0
GAS7	112.634675977763	82.608667131647	68.2617185694402	147.971390634409	159.541260763485	198.058778211386
TRAPPC6A	505.813128233471	429.162099976605	398.363163591808	933.564955457088	571.849699724538	684.86640676253
MATK	19.8153596627545	15.111341548472	27.508453751864	17.9359261375041	16.3385628492725	14.5938047103127
CEACAM7	0	0	0	0	0	0
CD79B	1.04291366646076	0	1.01883162043941	0	0	0
SCN4A	0	0	1.01883162043941	0	0	0
ST7L	0	0	3.05649486131822	0	0	0
TKTL1	0	0	1.01883162043941	0	0	0
PAX6	0	0	0	0	0	0
RPUSD1	96.9909709808511	143.054033325535	137.54226875932	166.804113078788	143.202697914212	184.507388123239
RHBDF1	39.630719325509	50.3711384949067	33.6214434745004	69.950111936266	66.3153433294002	64.6297065742418
LUC7L	26.0728416615191	28.2078375571477	42.790928058455	21.5231113650049	18.2607467138928	15.6362193324778
CACNA2D2	47.9740286571952	37.274642486231	26.4896221314245	33.1814633543826	24.0272983077537	19.8058778211386
BAIAP3	0	0	0	0	0	0
TSR3	11.4720503310684	10.0742276989813	9.16948458395465	6.27757414812644	17.2996547815827	14.5938047103127
PIGQ	29.2015826609014	12.0890732387776	30.5649486131822	24.2135002856305	27.8716660369943	31.2724386649557
CRAMP1	0	0	0	0	0	0
SELE	0	0	0	0	0	0
DNAJC11	0	0	0	0	0	0
FMO3	6.25748199876459	3.0222683096944	4.07532648175762	0	0	0
MYLIP	0	0	0	0	0	0
NOX1	0	0	0	0	0	0
E2F2	3.12874099938229	4.02969107959254	2.03766324087881	5.38077784125123	5.76655159386089	2.08482924433038
PSMB1	1630.07406067817	1466.80755297168	2425.83808826622	1341.60727508531	1347.45088909883	1183.14059615749
SYN1	26.0728416615191	19.1410326280645	8.15065296351525	11.6583519893777	7.68873545848118	17.7210485768082
JARID2	287.844171943171	317.338172517912	271.009211036882	509.380302305116	486.312517748935	476.383482329492
CDKL5	95.9480573143903	88.6532037510358	83.5441928760313	112.996334666276	87.4593658402234	84.4355843953804
CAMK1G	0	0	2.03766324087881	0	0	0
CDK11A	165.823272967262	189.395480740849	190.521513022169	262.761317914435	320.043613459279	272.070216385115
NADK	89.6905753156257	91.6754720607302	73.3558766716372	147.074594327534	118.214307674148	182.422558878908
TFAP2B	0	0	1.01883162043941	0	0	0
TFAP2D	0	0	0	0	0	0
DLEC1	1.04291366646076	0	0	3.58718522750082	0.961091932310148	8.33931697732152
CYTH3	2705.31805079922	2752.2790073617	2020.34310333134	1645.621223116	1941.4057032665	1518.79810449468
ADAM22	0	0	0	0	0	0
SYPL1	910.463630820247	787.804606060341	1172.67519512576	948.810492673967	971.663943565559	901.688648172889
CYB561	132.450035640517	176.298984732173	243.500757285018	231.373447173803	206.634765446682	219.949485276855
SPAG9	1323.45744273871	1204.87763279817	1094.22516035192	1497.64983248159	1228.27548949237	1352.01176494825
CELSR3	9.38622299814688	10.0742276989813	8.15065296351525	8.07116676187684	9.61091932310148	38.569341020112
AASS	233.612661287211	184.358366891358	111.052646627895	174.875279840665	152.813617237313	180.337729634578
PLEKHG6	2.08582733292153	5.03711384949067	1.01883162043941	3.58718522750082	0.961091932310148	3.12724386649557
